epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.34604,1.68016,4.86838,0.84942,0,0,0,0,1.46106,4.3964,0.82324,0.00020825,0.00020825,0.00020825
2,11.2071,1.73267,4.03648,0.82809,0.00298,0.1078,0.09854,0.01272,1.51442,4.1373,0.82659,0.000410811,0.000410811,0.000410811
3,13.0865,1.66206,3.66288,0.82603,0.03547,0.5098,0.29785,0.15635,1.49309,3.71358,0.82887,0.000599077,0.000599077,0.000599077
4,14.8856,1.77071,3.39218,0.82503,0.68856,0.1274,0.46259,0.2004,1.78713,3.23968,0.8392,0.000750533,0.000750533,0.000750533
5,16.6866,1.69929,3.078,0.81892,0.71606,0.25,0.47473,0.26545,1.5795,2.83417,0.83368,0.000723044,0.000723044,0.000723044
6,18.6373,1.56599,3.01072,0.80282,0.61418,0.42768,0.48935,0.27925,1.48659,2.27619,0.81066,0.000695555,0.000695555,0.000695555
7,20.4818,1.42319,2.76292,0.80907,0.43695,0.68231,0.66588,0.42316,1.34908,1.9661,0.78657,0.000668066,0.000668066,0.000668066
8,22.2913,1.41728,2.6175,0.79413,0.58377,0.73183,0.78639,0.53086,1.13569,1.82694,0.77655,0.000640577,0.000640577,0.000640577
9,24.0355,1.43603,2.4441,0.79709,0.63459,0.64175,0.62657,0.40516,1.30237,1.68259,0.77312,0.000613088,0.000613088,0.000613088
10,25.7584,1.42991,2.63499,0.79007,0.38802,0.75721,0.7158,0.43681,1.36646,1.65072,0.77576,0.000585599,0.000585599,0.000585599
11,27.7367,1.30407,2.16639,0.80548,0.41229,1,0.70481,0.47415,1.11342,1.55362,0.76804,0.00055811,0.00055811,0.00055811
12,30.0871,1.26793,2.16639,0.81096,0.49614,0.87329,0.76871,0.48572,1.18097,1.40935,0.77672,0.000530621,0.000530621,0.000530621
13,32.0703,1.29207,2.11697,0.79916,0.55193,0.94045,0.77036,0.46509,1.25375,1.38473,0.78172,0.000503132,0.000503132,0.000503132
14,34.1777,1.22863,2.01852,0.81736,0.57008,0.87874,0.78758,0.51358,1.07313,1.31557,0.77406,0.000475643,0.000475643,0.000475643
15,35.9524,1.2685,1.93261,0.79825,0.6794,0.75,0.84235,0.56214,1.06534,1.25954,0.76861,0.000448154,0.000448154,0.000448154
16,37.6764,1.15415,1.84084,0.80017,0.72383,0.74869,0.85602,0.57646,1.06873,1.25098,0.76747,0.000420665,0.000420665,0.000420665
17,39.4782,1.14832,1.77301,0.80213,0.58847,0.9976,0.89598,0.58783,1.05819,1.20324,0.76983,0.000393176,0.000393176,0.000393176
18,41.3793,1.11942,1.7031,0.81733,0.60774,0.91633,0.87526,0.59644,1.04533,1.17516,0.7751,0.000365687,0.000365687,0.000365687
19,43.1695,1.13842,1.68746,0.79794,0.63382,0.88826,0.91279,0.62311,1.04552,1.13793,0.77254,0.000338198,0.000338198,0.000338198
20,44.9892,1.16971,1.62137,0.80392,0.7581,0.92984,0.99198,0.67107,1.04526,1.07618,0.7705,0.000310709,0.000310709,0.000310709
